Ion,a1,b1,a2,b2,a3,b3,a4,b4,a5,b5,
H,0.0367,0.5608,0.1269,3.7913,0.236,13.5557,0.129,37.7229,0,0,
He,0.0406,0.314,0.1276,2.0952,0.1738,7.1369,0.0758,19.4462,0,0,
Li,0.1198,0.5908,0.3952,6.1114,1.3794,36.7672,1.3889,117.0314,0,0,
Be,0.118,0.4599,0.4394,4.4816,1.4273,21.5831,1.0661,66.115,0,0,
B,0.1298,0.418,0.52,3.9214,1.3767,16.6634,0.7666,51.7511,0,0,
C,0.1361,0.3731,0.5482,3.2814,1.2266,13.0456,0.5971,41.0202,0,0,
N,0.1372,0.3287,0.5344,2.6733,1.0862,10.3165,0.4547,32.7631,0,0,
O,0.1433,0.3055,0.5103,2.2683,0.937,8.2625,0.3923,25.6645,0,0,
F,0.1516,0.2888,0.5193,2.0619,0.822,7.2628,0.3081,22.0262,0,0,
Ne,0.1575,0.2714,0.5041,1.8403,0.733,6.3059,0.2572,19.164,0,0,
Na,0.3319,0.495,0.9857,4.0855,1.4885,31.5107,1.9657,118.494,0,0,
Mg,0.3248,0.4455,0.9243,3.5744,2.0039,24.2702,1.9507,80.7304,0,0,
Al,0.3582,0.4529,0.9754,3.7745,2.6393,23.3862,1.9103,80.5019,0,0,
Si,0.3626,0.4281,0.9737,3.557,2.7209,19.3905,1.766,64.3334,0,0,
P,0.354,0.3941,0.9397,3.181,2.6203,15.6579,1.5707,49.5239,0,0,
S,0.3478,0.3652,0.9158,2.8915,2.5066,13.0522,1.3884,40.1848,0,0,
Cl,0.3398,0.3379,0.8908,2.619,2.3878,11.0684,1.2376,33.5378,0,0,
Ar,0.3409,0.3229,0.8966,2.4778,2.2636,9.7408,1.0786,28.9354,0,0,
K,0.5658,0.5061,2.4151,5.7656,2.4655,31.9169,3.524,151.259,0,0,
Ca,0.5474,0.47,2.2793,5.0494,3.1934,29.6928,3.8824,109.5608,0,0,
Sc,0.5389,0.4446,2.2102,4.5701,3.1187,26.4597,3.4302,98.1283,0,0,
Ti,0.5398,0.4281,2.1568,4.2236,2.9961,24.1928,3.0751,90.6685,0,0,
V,0.5412,0.4132,2.1063,3.9256,2.8525,22.3625,2.7967,84.4689,0,0,
Cr,0.5478,0.4032,2.0737,3.7014,2.3527,20.0893,1.9866,87.923,0,0,
Mn,0.5552,0.3947,2.0073,3.48,2.5678,19.5862,2.3695,74.9201,0,0,
Fe,0.5627,0.3859,1.9685,3.3103,2.4527,18.7003,2.175,71.6638,0,0,
Co,0.573,0.3799,1.9219,3.1572,2.3358,17.8168,2.0177,68.4867,0,0,
Ni,0.5785,0.3704,1.8679,2.9964,2.2229,16.8507,1.894,65.2843,0,0,
Cu,0.5932,0.368,1.8344,2.8959,1.808,15.6333,1.3586,70.68,0,0,
Zn,0.5996,0.3602,1.7763,2.7665,2.024,15.5278,1.6598,60.283,0,0,
Ga,0.6737,0.3901,1.8457,3.0289,2.6395,19.0448,1.9413,74.1674,0,0,
